y/x,1,2,3,4,5,6,7,8,9,10
1,14.06,13.55,13.10,12.73,12.42,12.17,11.99,11.85,11.78,11.75
2,14.03,13.51,13.07,12.69,12.39,12.14,11.96,11.83,11.75,11.73
3,13.92,13.40,12.96,12.59,12.29,12.05,11.87,11.75,11.67,11.65
4,13.73,13.21,12.78,12.43,12.13,11.91,11.74,11.62,11.55,11.52
5,13.46,12.95,12.53,12.19,11.91,11.70,11.55,11.44,11.37,11.35
6,13.10,12.60,12.20,11.88,11.63,11.44,11.31,11.21,11.16,11.14
7,12.63,12.14,11.78,11.50,11.29,11.14,11.02,10.95,10.90,10.89
8,12.03,11.58,11.27,11.06,10.90,10.79,10.71,10.65,10.62,10.61
9,11.21,10.86,10.67,10.55,10.46,10.40,10.36,10.33,10.32,10.31
10,10,10,10,10,10,10,10,10,10,10
