Dia,Max,Min,Promedio
1,29.7,20.8,25.25
2,30.2,20.8,25.5
3,26.2,13.9,20.05
4,28.7,15.9,22.3
5,27.9,16,21.95
6,30.4,17.9,24.15
7,32.4,18.9,25.65
8,34.6,21.5,28.05
9,33.5,23.7,28.6
10,32.9,23.6,28.25
11,27.7,19.5,23.6
12,21.9,12.9,17.4
13,25.6,11.9,18.75
14,26.2,15.8,21.0
15,28.1,15,21.55
16,30.7,18,24.35
17,32.6,20.5,26.55
18,33.4,21.1,27.25
19,34.8,22.3,28.549999999999997
20,34.9,23.2,29.049999999999997
21,35.2,23.7,29.450000000000003
22,36.2,23.1,29.650000000000002
23,30.6,21.8,26.200000000000003
24,26.2,18.3,22.25
25,25.2,16.8,21.0
26,22.1,13.1,17.6
27,26.2,12.6,19.4
28,30.4,16.3,23.35
